review_text,rating,owner_response
Very knowledgeable with estate planning. Jeremy was wonderful at answering all of our many questions in a way that was easily understood. He took the time to explain all of our choices to insure we took the decisions that best suited our needs. Jeremy also explained all of the final documentation so we were clear on any next steps.,5,
"Although I'm not a client, Jeremy upholds the most professionalism and kindness. I highly recommend him and his firm. His Legal Assistant, Traci, is one in a million and will work hard for you.",5,
"I had a great experience working with this firm on my estate plan. They were knowledgeable, patient, and explained everything in plain language. I felt heard, supported, and confident in the decisions I was making. Highly recommended for anyone who wants an organized, trustworthy, and responsive estate-planning attorney.",5,
"Mr. Ramsey is a very competent attorney who knows his way around with regards to organizing trusts and,wills, and other estate planning needs! Thankful to have been able to make his acquaintance.",5,
"Jeremy took a daunting task and broke it down into manageable parts. It was truly a lovely experience doing our estate planning with Jeremy. He is friendly, patient, and incredibly organized. Thank you so much for everything and helping us protect our family and prepare for the future!",5,
Jeremy helped my husband and I get a trust in m place so our finances were secure. It was very thorough so our loved ones could avoid costs and time not having to deal with probate.,5,
"Jeremy has helped me with a few different things a special needs trust, my will, and also real estate transactions and investments, very knowledgeable in so many different fields. I am very grateful and satisfied for his dedication and help…",5,
Attorney Ramsey did a great professional job on our living trust and also on my mom's living trust. Thanks for the great work!,5,
"""I'd like a range for a typical for sale by owner with no variable unknown costs considered so I know the baseline"" ""My rate is $325 an hr, I don't have a way to estimate the typical baseline"" So we have no way of knowing if it'll be $2k or $10k.",1,
"I could not even inquire about a Will or Power of Attorney without being judged for having a phone number area code that was not 815. I had exact opposite experience of most reviews here and could not get a word in from this person. If you don't have an 815 number don't waste your time. This was a disappointing referral. I chose to find a Rockford attorney with a more professional, kinder personality.",1,
Jeremy is dedicated and very thorough using his extensive knowledge to help people with their estate planning and other legal needs. He very adeptly helps people in this crucial area of their lives.,5,
"Mr. Ramsey is a tough, thorough and easy to understand attorney! We appreciate the help he provided us with.",5,
"My husband and I worked with Jeremy for our estate planning. He is incredibly knowledgeable, experienced, and thorough, bringing a high level of integrity to what he does. I expected the process of creating a will and thinking through everything to be daunting, however Jeremy ensured that we covered it all and guided us through our different options, patiently answering all of our questions from the beginning. He was very kind and made the process painless. Would highly recommend.",5,
"Kevin Frost was outstanding in handling my son's personal injury case. After his car accident, Kevin helped him understand his options. Kevin also went above and beyond to ensure he receive the best medical attention while he handled the legalities. He is a skilled negotiator and a dedicated advocate which resulted in a significant settlement. I am grateful for his service and highly recommend him to anyone without any reservations.",5,
"Kevin Frost is a very thorough and competent personal injury lawyer. Kevin always had my son's best interests in mind. He kept us informed of the legal process and what to expect from the insurance company. Kevin took a stressful situation and made everything an easy process. Kevin's commitment to my son through his integrity, diligence, knowledge of the law and his persistence exceeded our expectations. We highly recommend Kevin Frost!",5,
Mr. Frost is wonderful to work with and we were very pleased with how everything was handled. He made the process so easy and was there to help and answer all of our questions. Very happy with how the matter turned out and definitely recommend him and his office.,5,
Didn't even get past the phone call to schedule an appointment. Whoever answered the phone was not pleasant or helpful. I immediately knew I would never recommend this law practice to anyone.,1,
"Just know that your ""Free initial consultation"" is NOT free. You will be charged $50 when you make your consultation appointment and this $50 is non-refundable, even if you decide not to hire them!! So you are paying them to have an appointment with them!! Unbelievable!! They claim it's for administration fees!! What a scam. Please save yourself the headache, find a different attorney.",1,
A very simple probate has taken more then 2 years! Still waiting!!!,1,
Late on getting back to u,3,
"I have been denied disability twice now. I called the firm for advice and help. After a series of about 4 to 5 questions, the woman on the phone told me that I was not going to be able to receive disability because I claim an income. My income is less than 12,000 a year. I was informed that you cannot claim any kind of income if you want to be approved for disability and she hung up on me.",1,
"I urge you not to use this group for they are a very crooked law office that plays game with the system at the expense of their clients. They were not honest. On the day of my hearing the most important date, Mr Good senior sends his son to represent me, his son makes me sign a new client form to allow him to represent me. Of course I sign with his son out of desperation because my hearing is in 10 minutes. His son Good jr acted very crass towards the judge and ultimately ended up threatening the judge by saying I don't care what decision you make we will appeal! I signed up with Mr Good senior, someone I thought was an honest experienced attorney and he completely let me down and sent his inexperienced son to represent me at my hearing last minute! Again go with the bigger groups you see on TV... this law group is no good!",1,
Call these guys if you want someone to tell you to do it yourself and they'll file the papers. Their phone assistant was hired to tell people that they should go on the SS website. Way to go. What you're saying is you won't help unless it's been figured out already. What if my disability doesn't allow me to do such things? Call elsewhere.,1,
They do not return calls. After my 4th call to inquire status of my case the receptionist said she was told to tell me I was too old for them to represent me in a disability case.,3,
"Shawn was very friendly and also very helpful in getting me to and from the court hearing. In my current situation, I would have not had been able to get there otherwise.",4,
"If you want to pay someone $3,500 just to be screamed at and thrown out of their office, then this is the lawyer for you. I hired him to handle my case, but during what should have been a routine office visit, he lost his temper simply because I was wearing a beer T-shirt under a zipped hoodie. When I calmly told him I didn't appreciate being spoken to that way—especially after paying him thousands of dollars—he threw my folder across the desk, told me it was ""16 hours of work"" and that I wouldn't be getting anything back, then ordered his secretary to kick me out. I never received a refund, never got proper legal help from him, and ultimately had to hire another attorney (Albert Altamore) to fix the mess. This incident happened about a year ago, and I waited until all my court matters were resolved before posting this review to make sure he couldn't jeopardize my case. I'm writing this now to warn others: save your money, time, and peace of mind.",1,
"Divorces are messy even if you don't want them to be! Having a paralegal like Maria makes a huge difference. She GETS it! And I knew she was in my corner all the way! Mason was great and he could not do what he does without a team behind him. It was an annoying, frustrating process but the Crosby team did what they could within the confines of the law. Unfortunately, laws can hamstring alot of things but Mason and Maira did a good job of guiding where it matters most. Thanks to you both!",4,
"The process of my divorce took 5 months. You will mostly be working with the paralegals which are not friendly at all. It's an inconvenience if you call or email. Don't expect fast responses. Absolutely no compassion either. Divorce is a difficult process but you are on your own. I had to remind them of all the demands I had. They even missed a few demands that I had required. I felt like an inconvenience to them. Mason & Tyler are kind. But they need better paralegals. I'm just glad this is over with.",3,
"If I could give 6 stars, I would. I made a terrible mistake and was charged with a DUI. I've never been in trouble with the law, not even a ticket, so my anxiety was eating me alive. I came across Paul and, after reading all of the reviews, I chose him to represent me in court, and it was probably one of the best decisions I made. Not only did he reassure me when it came to anxiety, but he was hands-on every step of the way. Every time I had a question or concern about anything, he responded quickly, whether it was through text or call. He fought for me until the very end and got me the best possible outcome. He was able to get my license suspension lifted for me with having to take a few treatment classes, court supervision, and pay fines, so if you're ever in need of an attorney, whatever the case may be, Paul is your guy to go to. Thank you again, Paul, you're the best!",5,
"I had a great experience with The Law Office of Paul M. Marriett. They handled my Rockford CDL ticket efficiently and kept me informed throughout the entire process. No stress, no confusion, and everything was resolved just like they said it would be. Professional, reliable, and worth it. I would definitely recommend them to anyone needing representation.",5,
"The attorney took on my case, worked it for over a month then ""realized "" he couldn't anymore bc the arresting officer was his cousin. Not sure how he didn't know this before because he had the police report, but then he charged me the full amount and I was stuck without legal council",2,
"Had a similar experience to the other 1 start review. Called for a consult/information. Was forwarded to one of the attorneys from the front desk. Not sure the gentleman's name, but right of the rip he was extremely rude and condescending. Barely gave me any opportunity to speak or explain my situation, only heard what he wanted to hear and then would cut me off and start rambling. Almost feel like this gentleman just enjoyed hearing his own voice. Will never attempt to go through this lawfirm again and would not recommend anybody else to try them. The biggest kick is that this gentleman casually threw in my face that the amount of money I was seeking legal action for was basically chump change and not worth his time. Well not everybody makes big lawyer money like you my friend, for some people that amount of money could genuinely be life changing.",1,
"Pros: Ryan Varner is a pretty good guy. Cons: The office staff is completely inept at their job.",2,
"I have great reservations about not awarding the firm five stars. Thus far, the representation has been outstanding. The lawyers are caring, intelligent, know the law, and are aggressive in representing my interests. That the litigation is more expensive than I anticipated is because the circumstances are unusual. However, dealing with the billing department is a nightmare. The billing statements I have received are confusing - retainer amounts change with no explanation.",3,
"I had a consultation with Mr. Oancea regarding a business Small Claims Court case in Cook County, and I'm very grateful for his guidance. He carefully reviewed our case, explained the process step by step, and clearly outlined what we could realistically expect. What stood out most was his honesty — he did not make unrealistic promises, but instead gave straightforward, practical advice based on experience. I truly felt that he cared and wanted to help. I highly recommend Iurie Oancea as an attorney in Cook County.",5,
I reached out to the attorney for a few legal clarifications and I was very satisfied with the service. He answered all of my questions patiently and provided the necessary information with clarity and professionalism. I truly appreciated his helpful attitude and clear explanations. I would definitely recommend his services to anyone who needs reliable legal advice,5,
"I really appreciate both attorneys they both did an amazing job on my husband's case. He's home and we thank both of them. Alex is a beast, the Judge agreed with everything he said.",5,
"These guys are horrible. First court date the Lawyer showed up late didn't even know he had to come. Second court date came around another lawyer showed up and all she did was fix the other lawyers problems that he had done. They sent me to another courtroom I wasn't suppose to go to. The lawyers were extremely rude and one actually racist saying that 'oh I deal with your kind all the time'. This was my first time having to get a lawyer and had to deal with these scums. Nothing but wasting my time and money.",1,
"We were referred to McNamee & Maheney Ltd. by a close friend and contacted them right away, gave our deposit and we never heard from them for over a year. We tried and tried to contact the office and always got told that our message was left for our lawyer, come to find out he did not even work there anymore and our case was forgotten about.",2,
"Professional, likeable, accessible and honest",4,
Don't know the outcome yet,3,
"We submitted all of the paperwork for our living will and trust and after six weeks, nothing was completed at all. After following up a month and one half later, we found that nothing had been worked on. When we questioned the status, we were told that we never gave a timeframe. We ended up going with a different provider.",2,
"It was a fantastic experience working with the Baudin Law Group!! They are like family and still feel that way. Randy, Kelly and Myrna you guys are the best! We appreciate everything you guys did for our family.",5,
"I hired Dane Loizzo as my third attorney during my divorce case. Within just three weeks, Dane racked up over $7,000 in charges, many of which appeared inflated, before withdrawing from my case without achieving any meaningful progress. He failed to provide value, transparency, or support.",1,
I was billed for a consultation that I never knew wasn't free! I was made aware of the per hour rate but not that the consultation was being billed! Then they charged me $250. I would be concerned what else they might charge for and not disclose.,1,
Pleasure to work with,4,
"My husband and I both sold and purchased a home simultaneously. We could not have navigated through the legal side of things without the help of Shannon Wynn and staff. Wynn at Law was with us every step of the way, with ease and genuine concern. They were always available for any questions/concerns we had and they responded very quickly. We recommend Wynn at Law for expertise, vast legal knowledge, and a commitment to their clientele that is rare to find today.",5,
Very professional atmosphere if you need a lawyer,4,
Got the job done and won so to speak,4,
Very polite staff! Would recommend!,5,
"I don't know who left a 1 star for this guy! I had to retain Scott several years ago and recently referred someone to him because he will actually give you his time for FREE over the phone! Scott will give you the best case scenario and worst case scenario without taking your money!",5,
Friendly staff. Closed our house on here.,4,
Good advice,4,
Did not totally procure all evidence related to my case!,2,
"4.5 Star Rating! I hired Attorney Mehlos to help me fight a battery charge. Corey helped me through the worst year of my life. From day 1, Attorney Mehlos and I came up with a plan and continued to refine our strategy until the prosecutor dismissed the battery charge. It took 12 months to get it done. Attorney Mehlos was confident and prepared to win at trial. The prosecutor eventually released knowing he'd have a tough case. I highly recommend Attorney Mehlos for any criminal case.",4,
"In January of 2023, after a 26 year untarnished and successful career as a firefighter/paramedic, I was falsely accused and arrested. My wife received a recommendation to call attorney Corey Mehlos. That decision turned out to be the one that saved my life both literally and figuratively. The passion, professionalism, determination, dedication and commitment not just from Corey, but his entire staff is second to none. He never gave up on me or my family and after nearly 3 long years, his tireless work ended with an absolute domination in the court room. I was found not guilty and cleared overwhelmingly on all charges. This man is the absolute definition of what a defense attorney should be.",5,
"I truly wonder if other Black people had great experiences here. They accepted thousands of dollars but never really did anything towards my son's appeal, never really fought. The case was transferred multiple times. They never even really had meetings with me or my son. Truly horrible.",1,
No one ever returns a call..found another lawyer who has,2,
"I'm disappointed in the service provided by Fields Law firm. My son's appeal was denied. Most recently I sent them an email and no response. Then out of the blue they send me an email to which I replied and no response. I'm left wondering if the attorney on our case is even still employed there.",2,
"I wish I could write a positive review, but unfortunately, I cannot. I felt my lawyer was representing the defendant instead of me. It seemed that my lawyer was not trying to get me to the best outcome. It was my lawyer who talked me out of going to court before a judge.",2,
"I send email after email without responses by email back or phone calls. Seriously a law firm can close for 10 days with no warning to clients who are waiting for responses? VERY UNPROFESSIONAL.",2,
"I have had to do all the legwork of my disability appeal since original submission. Crickets from my legal aide. Talked to her once and she had no idea what was going on.",2,
My LTD appeal took a long time. I believe Fields Law did not do anything I could not have done on my own. Ultimately the appeal was approved but the fee seemed to be high for what they did.,2,
Sued for 120k settlement was 20k not satisfied with their efforts,2,
"I was disappointed in the entire process. I was assigned to 3 different attorneys. Each time a little information and understanding of my case was lost. I feel my settlement amount suffered. After 2 years, I received a final settlement offer. The entire staff is really nice, professional and qualified. I'm not sure if they have a large turnover issue. I kept calling and sending messages without replies.",3,
My original attorney felt I had a strong enough case. She left the practice and my case was handed off to another attorney who was only interested in settling the case. He pushed for me to accept a settlement worth a third of what I was entitled to. I stupidly agreed.,3,
"I think there could have been more communication from my lawyer at times. At beginning of case I was told we were looking at a six figure settlement and as time went on I was lucky to get a lot less. I kind of felt misled. Lawyer was very nice in person.",3,
"Fields law firm was really helpful. The legal team kept in close contact with me, from start to finish. They were very knowledgeable about disability claims and knew what to do through every step of my case.",4,
"Bottom line........they got it done! They filed all the paperwork correctly, represented me well and did what I wanted them to do. The communication was ok but could have been more clearly explained at the beginning. I am ultimately very happy with the final outcome.",4,
Someone from Field's Law office was quick to contact me and guide me through the disability process. They stayed in contact with me the entire time.,4,
I was impressed with Catherine's availability. She was accessible and if not available she returned my calls in a timely fashion. I would recommend Fields Law Firm based on my experience.,4,
Fields Law Firm did a great job helping me be approved for SSDI. They made sure everything was done correctly and on time. I would recommend Fields without hesitation to anyone in my situation.,4,
"It was great to have Mark and Samantha handling my long-term disability case. They really made sure I was updated on every change. Very friendly family oriented practice. I will definitely recommend them to my family and friends.",4,
